응답자ID,성별,1번문항,10번문항,19번문항
336,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
337,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
338,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
339,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
340,여,보통이다.,들어본 적이 있다.,보통 수준이다.
341,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
342,여,잘 모르고 있다.,자주 들어본 적이 있다.,없다.
343,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
344,여,잘 알고 있다.,들어본 적이 있다.,없다.
345,여,보통이다.,자주 들어본 적이 있다.,전혀 없다.
346,남,매우 잘 알고 있다.,들어본 적이 있다.,없다.
347,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
348,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
349,남,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
350,남,보통이다.,들어본 적이 있다.,전혀 없다.
351,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
352,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,매우 많다.
353,여,보통이다.,자주 들어본 적이 있다.,없다.
354,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
355,남,잘 알고 있다.,보통정도이다.,없다.
356,남,잘 모르고 있다.,자주 들어본 적은 없다.,없다.
357,여,잘 모르고 있다.,자주 들어본 적이 있다.,전혀 없다.
358,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
359,여,잘 알고 있다.,들어본 적이 있다.,없다.
360,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
361,여,잘 알고 있다.,보통정도이다.,없다.
362,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
363,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
364,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
365,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
366,남,잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
367,남,잘 모르고 있다.,자주 들어본 적이 있다.,보통 수준이다.
368,여,보통이다.,자주 들어본 적이 있다.,없다.
369,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
370,남,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
371,여,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
372,남,잘 모르고 있다.,자주 들어본 적이 있다.,없다.
373,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
374,남,보통이다.,들어본 적이 있다.,없다.
375,남,매우 잘 알고 있다.,보통정도이다.,없다.
376,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
377,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
378,남,보통이다.,들어본 적이 있다.,전혀 없다.
379,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
380,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
381,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
382,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
383,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
384,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
385,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
386,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
387,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
388,남,보통이다.,자주 들어본 적이 있다.,전혀 없다.
389,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,많다.
390,여,보통이다.,들어본 적이 있다.,보통 수준이다.
391,여,잘 알고 있다.,보통정도이다.,없다.
392,여,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
393,여,보통이다.,자주 들어본 적이 있다.,없다.
394,남,잘 알고 있다.,보통정도이다.,없다.
395,남,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
396,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
397,남,잘 모르고 있다.,자주 들어본 적이 있다.,전혀 없다.
398,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
399,남,잘 알고 있다.,보통정도이다.,없다.
400,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
401,여,매우 잘 알고 있다.,전혀 들어본적이 없다.,보통 수준이다.
402,남,보통이다.,자주 들어본 적이 있다.,없다.
403,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
404,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
405,여,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
406,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
407,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
408,여,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
409,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
410,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
411,여,매우 잘 알고 있다.,보통정도이다.,없다.
412,남,보통이다.,자주 들어본 적이 있다.,전혀 없다.
413,여,보통이다.,자주 들어본 적이 있다.,없다.
414,여,보통이다.,보통정도이다.,전혀 없다.
415,여,매우 잘 알고 있다.,보통정도이다.,없다.
416,여,잘 알고 있다.,들어본 적이 있다.,없다.
417,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
418,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
419,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
420,남,매우 잘 알고 있다.,들어본 적이 있다.,없다.
421,여,매우 잘 알고 있다.,보통정도이다.,없다.
422,여,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
423,남,보통이다.,자주 들어본 적이 있다.,없다.
424,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
425,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
426,남,잘 알고 있다.,보통정도이다.,없다.
427,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
428,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
429,남,잘 알고 있다.,보통정도이다.,전혀 없다.
430,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
431,여,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
432,여,보통이다.,자주 들어본 적이 있다.,없다.
433,남,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
434,남,잘 알고 있다.,들어본 적이 있다.,없다.
435,남,보통이다.,자주 들어본 적은 없다.,없다.
436,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,보통 수준이다.
437,남,보통이다.,자주 들어본 적이 있다.,없다.
438,여,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
439,남,보통이다.,자주 들어본 적은 없다.,많다.
440,여,잘 알고 있다.,보통정도이다.,전혀 없다.
441,여,매우 잘 알고 있다.,자주 들어본 적은 없다.,없다.
442,남,보통이다.,자주 들어본 적이 있다.,없다.
443,여,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
444,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
445,여,매우 잘 알고 있다.,보통정도이다.,보통 수준이다.
446,남,보통이다.,들어본 적이 있다.,전혀 없다.
447,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
448,여,보통이다.,자주 들어본 적이 있다.,없다.
449,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
450,남,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
451,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
452,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
453,여,보통이다.,자주 들어본 적이 있다.,전혀 없다.
454,남,잘 모르고 있다.,자주 들어본 적이 있다.,전혀 없다.
455,여,보통이다.,보통정도이다.,전혀 없다.
456,남,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
457,남,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
458,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
459,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
460,여,잘 알고 있다.,보통정도이다.,없다.
461,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
462,남,잘 알고 있다.,자주 들어본 적이 있다.,많다.
463,여,보통이다.,자주 들어본 적이 있다.,없다.
464,남,매우 잘 알고 있다.,들어본 적이 있다.,보통 수준이다.
465,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,없다.
466,여,매우 잘 알고 있다.,보통정도이다.,없다.
467,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
468,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
469,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
470,여,잘 알고 있다.,보통정도이다.,전혀 없다.
471,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
472,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
473,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
474,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
475,남,보통이다.,보통정도이다.,전혀 없다.
476,여,매우 잘 알고 있다.,보통정도이다.,없다.
477,남,잘 모르고 있다.,자주 들어본 적이 있다.,보통 수준이다.
478,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
479,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
480,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
481,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
482,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
483,여,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
484,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
485,남,매우 잘 알고 있다.,들어본 적이 있다.,없다.
486,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
487,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
488,남,보통이다.,자주 들어본 적이 있다.,없다.
489,남,잘 알고 있다.,보통정도이다.,없다.
490,여,잘 알고 있다.,들어본 적이 있다.,없다.
491,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
492,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
493,남,보통이다.,자주 들어본 적이 있다.,많다.
494,여,보통이다.,들어본 적이 있다.,전혀 없다.
495,여,매우 잘 알고 있다.,들어본 적이 있다.,많다.
496,여,매우 잘 알고 있다.,들어본 적이 있다.,없다.
497,여,잘 알고 있다.,자주 들어본 적이 있다.,많다.
498,여,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
499,남,매우 잘 알고 있다.,들어본 적이 있다.,없다.
500,남,잘 알고 있다.,들어본 적이 있다.,없다.
501,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
502,남,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
503,여,보통이다.,자주 들어본 적이 있다.,전혀 없다.
504,여,보통이다.,자주 들어본 적이 있다.,전혀 없다.
505,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
506,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
507,남,보통이다.,자주 들어본 적이 있다.,전혀 없다.
510,여,보통이다.,자주 들어본 적이 있다.,전혀 없다.
511,남,보통이다.,자주 들어본 적이 있다.,없다.
512,남,매우 잘 알고 있다.,들어본 적이 있다.,없다.
513,여,잘 알고 있다.,자주 들어본 적은 없다.,없다.
514,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
515,남,잘 모르고 있다.,자주 들어본 적이 있다.,없다.
516,남,보통이다.,보통정도이다.,없다.
517,남,잘 알고 있다.,들어본 적이 있다.,없다.
518,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
519,여,보통이다.,자주 들어본 적이 있다.,없다.
520,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
521,여,매우 잘 알고 있다.,들어본 적이 있다.,없다.
522,남,잘 알고 있다.,보통정도이다.,전혀 없다.
523,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
524,남,보통이다.,자주 들어본 적이 있다.,많다.
525,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
526,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
527,남,보통이다.,들어본 적이 있다.,전혀 없다.
528,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
529,남,보통이다.,자주 들어본 적이 있다.,전혀 없다.
530,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
531,여,매우 잘 알고 있다.,들어본 적이 있다.,많다.
532,남,잘 알고 있다.,들어본 적이 있다.,없다.
533,여,매우 잘 알고 있다.,보통정도이다.,없다.
534,여,잘 알고 있다.,자주 들어본 적이 있다.,많다.
535,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
536,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
537,남,잘 알고 있다.,보통정도이다.,전혀 없다.
538,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
539,남,매우 잘 모르고 있다.,들어본 적이 있다.,전혀 없다.
540,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
541,남,잘 알고 있다.,들어본 적이 있다.,없다.
542,남,잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
543,여,매우 잘 알고 있다.,들어본 적이 있다.,없다.
544,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
545,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
546,남,보통이다.,자주 들어본 적이 있다.,전혀 없다.
547,여,매우 잘 알고 있다.,들어본 적이 있다.,없다.
548,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
549,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
550,여,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
551,남,보통이다.,들어본 적이 있다.,없다.
552,남,보통이다.,들어본 적이 있다.,전혀 없다.
553,여,잘 알고 있다.,들어본 적이 있다.,없다.
554,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
555,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
556,남,잘 알고 있다.,자주 들어본 적이 있다.,많다.
557,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
558,여,잘 알고 있다.,보통정도이다.,없다.
559,여,잘 모르고 있다.,자주 들어본 적이 있다.,없다.
560,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
561,남,매우 잘 알고 있다.,보통정도이다.,없다.
562,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
563,여,잘 알고 있다.,보통정도이다.,전혀 없다.
564,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
565,여,잘 모르고 있다.,자주 들어본 적이 있다.,없다.
566,남,잘 알고 있다.,들어본 적이 있다.,보통 수준이다.
567,여,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
568,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
569,남,보통이다.,자주 들어본 적이 있다.,많다.
570,여,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
571,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
572,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
573,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
574,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
575,여,보통이다.,자주 들어본 적이 있다.,전혀 없다.
576,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
577,여,잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
578,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
579,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
580,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
581,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
582,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
583,남,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
584,여,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
585,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
586,여,잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
587,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,많다.
588,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
589,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
590,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
591,여,잘 모르고 있다.,자주 들어본 적이 있다.,전혀 없다.
592,여,보통이다.,보통정도이다.,전혀 없다.
593,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
594,여,잘 모르고 있다.,자주 들어본 적이 있다.,전혀 없다.
595,여,보통이다.,자주 들어본 적이 있다.,전혀 없다.
596,남,매우 잘 알고 있다.,들어본 적이 있다.,보통 수준이다.
597,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
598,남,매우 잘 알고 있다.,들어본 적이 있다.,없다.
599,남,보통이다.,자주 들어본 적이 있다.,없다.
600,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
601,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
602,여,잘 알고 있다.,들어본 적이 있다.,없다.
603,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
604,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
605,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
606,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
607,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
608,남,매우 잘 알고 있다.,들어본 적이 있다.,없다.
609,여,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
610,남,보통이다.,들어본 적이 있다.,보통 수준이다.
611,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
612,남,매우 잘 알고 있다.,들어본 적이 있다.,없다.
613,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
614,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
615,남,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
616,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
617,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
618,남,잘 알고 있다.,자주 들어본 적은 없다.,없다.
619,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
620,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
621,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
622,남,잘 알고 있다.,들어본 적이 있다.,없다.
623,여,매우 잘 알고 있다.,들어본 적이 있다.,없다.
624,남,잘 모르고 있다.,자주 들어본 적이 있다.,전혀 없다.
625,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
626,남,잘 알고 있다.,들어본 적이 있다.,없다.
627,여,잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
628,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
629,남,잘 모르고 있다.,들어본 적이 있다.,전혀 없다.
630,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
631,남,보통이다.,자주 들어본 적은 없다.,전혀 없다.
632,남,매우 잘 알고 있다.,보통정도이다.,없다.
633,남,매우 잘 알고 있다.,보통정도이다.,없다.
634,여,보통이다.,자주 들어본 적이 있다.,전혀 없다.
635,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
636,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
637,남,매우 잘 알고 있다.,보통정도이다.,없다.
638,여,잘 알고 있다.,들어본 적이 있다.,없다.
639,남,보통이다.,자주 들어본 적이 있다.,없다.
640,여,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
641,남,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
642,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
643,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
644,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
645,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
646,남,잘 알고 있다.,보통정도이다.,없다.
647,여,보통이다.,들어본 적이 있다.,전혀 없다.
648,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
649,여,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
650,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
651,남,보통이다.,자주 들어본 적이 있다.,없다.
652,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
653,남,잘 알고 있다.,보통정도이다.,전혀 없다.
654,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
655,여,보통이다.,자주 들어본 적이 있다.,전혀 없다.
656,남,보통이다.,자주 들어본 적이 있다.,전혀 없다.
657,남,매우 잘 알고 있다.,보통정도이다.,없다.
658,여,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
659,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
660,여,보통이다.,자주 들어본 적이 있다.,전혀 없다.
661,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
662,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,없다.
663,여,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
664,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
665,여,잘 모르고 있다.,자주 들어본 적이 있다.,전혀 없다.
666,여,잘 알고 있다.,들어본 적이 있다.,없다.
667,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
668,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
669,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
670,남,보통이다.,자주 들어본 적이 있다.,많다.
671,남,매우 잘 알고 있다.,보통정도이다.,없다.
672,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
673,여,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
