만족,성별,등급
1,M,B
0,M,A
0,M,B
0,M,B
0,M,B
0,M,A
0,M,B
1,M,A
0,M,A
0,M,A
0,M,B
1,M,B
0,M,S
1,M,B
0,M,A
0,M,A
1,M,A
0,M,A
0,M,B
0,M,A
0,M,B
1,M,B
0,M,B
0,M,B
1,M,B
0,M,B
0,M,B
1,M,A
1,M,B
1,M,A
1,M,B
1,M,B
0,M,A
0,M,A
0,M,A
0,M,A
1,M,A
1,M,B
0,M,A
0,M,B
0,M,A
1,M,B
0,M,B
1,M,B
0,M,A
0,M,A
0,M,B
0,M,A
0,M,S
0,M,A
1,M,B
1,M,B
0,M,A
0,M,S
1,M,B
1,M,B
1,M,A
0,M,B
1,M,B
1,M,B
1,M,B
0,M,B
0,M,A
0,M,B
0,M,A
0,M,B
0,M,A
0,M,B
1,M,B
0,M,A
0,M,A
1,M,B
0,M,A
1,M,B
0,M,A
0,M,A
0,M,B
0,M,A
0,M,B
0,M,A
0,M,B
1,M,A
0,M,A
0,M,A
0,M,A
0,M,S
0,M,A
1,M,B
0,M,A
0,M,B
1,M,A
1,M,A
1,M,A
0,M,B
1,M,B
0,M,A
1,M,S
1,M,B
0,M,B
0,M,A
0,M,A
0,M,A
0,M,A
0,M,A
1,M,B
0,M,A
1,M,B
0,M,B
1,M,B
0,M,A
0,M,A
0,M,B
1,M,B
0,M,A
1,M,A
0,M,A
0,M,A
1,M,B
0,M,A
1,M,B
0,M,A
0,M,A
1,M,B
0,M,A
0,M,S
1,M,B
1,M,A
0,M,A
0,M,A
0,M,A
1,M,B
0,M,B
0,M,A
0,M,A
0,M,A
0,M,A
1,M,B
0,M,A
1,M,B
0,M,A
0,M,A
1,M,B
1,M,B
1,M,B
0,M,A
1,M,A
0,M,S
0,M,A
0,M,A
0,M,A
0,M,A
0,M,A
1,M,B
0,M,A
0,M,S
0,M,A
0,M,A
0,M,A
0,M,S
0,M,S
1,M,B
0,M,A
0,M,A
0,M,A
0,M,A
1,M,B
1,M,B
1,M,B
0,M,B
0,M,A
0,M,B
1,M,B
1,M,S
0,M,A
0,M,B
1,M,A
1,M,B
1,M,B
0,M,B
1,M,B
0,M,S
0,M,B
1,M,B
0,M,A
0,M,A
0,M,A
1,M,B
0,M,A
0,M,A
1,M,B
1,M,B
1,M,B
1,M,A
0,M,S
1,M,A
1,M,B
0,M,A
0,M,A
0,M,A
0,M,A
0,M,A
0,M,A
0,M,A
1,M,B
0,M,A
0,M,A
0,M,B
1,M,B
0,M,A
1,M,B
0,M,A
0,M,A
0,M,A
1,M,B
1,M,B
0,M,B
1,M,B
0,M,A
0,M,B
0,M,A
1,M,B
0,M,A
1,M,B
0,M,A
0,M,A
0,M,B
1,M,A
0,M,B
1,M,A
1,M,A
0,M,A
0,M,A
0,M,A
0,M,A
0,M,A
0,M,B
0,M,A
0,M,A
0,M,B
0,M,A
0,M,S
0,M,A
0,M,A
0,M,A
0,M,A
0,M,S
1,M,B
0,M,B
0,M,A
0,M,A
0,M,A
0,M,B
1,M,B
1,M,B
1,M,B
0,M,A
1,M,B
1,M,A
0,M,A
1,M,A
1,M,S
1,M,B
1,M,B
1,M,A
1,M,B
1,M,B
0,M,A
1,M,A
0,M,B
0,M,B
0,M,B
1,M,B
1,M,B
0,M,A
0,M,A
0,M,A
0,M,A
0,M,B
0,M,A
0,M,A
0,M,A
0,M,A
0,M,A
0,M,A
0,M,A
1,M,B
0,M,A
0,M,A
0,M,A
1,M,S
1,M,A
1,M,B
0,M,A
0,M,B
0,M,A
1,M,B
0,M,B
0,M,A
0,M,S
0,M,A
1,M,B
0,M,A
1,M,B
0,M,A
0,M,A
0,M,B
0,M,B
1,M,B
0,M,A
1,M,B
1,M,A
0,M,A
0,M,A
0,M,A
1,M,B
0,M,B
0,M,A
0,M,A
1,M,B
1,M,B
1,M,B
0,M,A
0,M,A
0,M,B
0,M,A
0,M,A
1,M,A
0,M,A
0,M,A
0,M,A
1,M,B
0,M,S
1,M,B
0,M,A
1,M,B
1,M,B
0,M,A
1,M,B
0,M,A
0,M,S
0,M,B
0,M,A
1,M,B
1,M,A
0,M,S
0,M,A
0,M,B
0,M,S
1,M,B
0,M,A
0,M,A
0,M,A
0,M,A
0,M,A
0,M,A
0,M,S
1,M,A
0,M,B
1,M,B
0,M,A
0,M,B
0,M,B
0,M,A
0,M,A
0,M,B
1,M,A
0,M,A
0,M,A
0,M,B
1,M,A
1,M,B
0,M,A
1,M,A
0,M,B
1,M,A
0,M,A
0,M,A
0,M,A
0,M,A
0,M,A
0,M,B
1,M,B
1,M,B
1,M,A
1,M,B
0,M,A
0,M,B
0,M,A
0,M,A
1,M,B
1,M,B
0,M,A
1,M,B
0,M,B
1,M,B
0,M,A
1,M,A
1,M,A
0,M,B
1,M,B
1,M,B
0,M,A
0,M,A
1,M,B
0,M,S
1,M,A
0,M,A
0,M,B
0,M,A
1,M,B
0,M,A
1,M,B
0,M,A
0,M,B
0,M,A
0,M,B
1,M,B
0,M,A
1,M,B
1,M,A
0,M,A
0,M,B
0,M,A
0,M,A
0,M,A
0,M,A
0,M,A
0,M,A
0,M,B
0,M,B
1,M,A
0,M,B
0,M,S
1,M,B
0,M,A
0,M,A
0,M,A
0,M,A
0,M,B
1,M,B
1,M,B
0,M,A
0,M,B
1,M,A
0,M,B
0,M,S
1,M,A
0,M,A
1,M,B
0,M,A
1,M,B
0,M,A
0,M,A
1,M,B
1,M,A
1,M,B
0,M,B
0,M,A
0,M,B
0,M,B
0,M,A
1,M,B
0,M,A
1,M,B
0,M,A
1,M,B
0,M,B
0,M,A
1,M,B
1,M,B
1,M,B
0,M,A
1,M,B
0,M,B
0,M,A
1,M,B
1,M,B
1,M,A
1,M,B
1,M,B
1,M,B
1,M,S
0,M,A
0,M,A
0,M,A
1,M,S
0,M,A
0,M,A
1,M,A
1,M,B
1,M,B
1,M,A
0,M,A
0,M,A
1,M,B
0,M,B
0,M,A
1,M,S
1,M,B
0,M,A
0,M,B
0,M,A
0,M,A
1,M,B
1,M,B
1,M,B
0,M,S
1,M,A
0,M,B
1,M,B
0,M,B
0,M,S
1,M,B
0,M,A
0,M,A
1,M,B
0,M,A
1,M,B
1,M,A
1,M,B
1,M,A
1,M,B
1,M,B
1,M,B
0,M,A
0,M,A
0,M,A
1,M,A
0,M,A
1,M,A
1,M,B
1,M,B
0,M,A
0,M,A
0,M,A
0,M,A
1,M,B
0,M,S
1,M,B
0,M,B
0,M,S
0,M,A
1,M,B
1,M,B
0,M,B
1,M,A
1,M,B
1,M,B
1,M,A
1,M,B
1,M,A
0,M,B
1,M,B
0,M,A
0,M,A
0,M,A
1,M,B
0,M,A
1,M,B
0,M,A
0,M,B
0,M,A
0,M,A
0,M,A
0,M,A
0,M,A
1,M,B
1,M,B
0,M,A
1,M,B
1,M,B
1,M,A
0,M,B
0,M,A
0,M,B
1,M,A
1,M,B
0,M,B
0,M,A
0,M,A
0,M,A
1,M,B
0,M,A
1,M,B
0,M,A
1,M,B
0,M,S
1,M,S
1,M,B
0,M,A
1,M,A
0,M,A
1,M,S
0,M,A
1,M,B
1,M,B
0,M,B
1,M,A
0,M,A
0,M,B
0,M,A
0,M,S
1,M,B
1,M,B
0,M,A
1,M,B
0,M,A
0,M,A
1,M,B
1,M,A
0,M,B
0,M,B
1,M,A
0,M,B
1,M,A
1,M,A
1,M,B
0,M,A
0,M,S
1,M,B
0,M,A
1,M,B
0,M,A
1,M,A
1,M,B
0,M,A
0,M,B
0,M,A
0,M,A
1,M,B
1,M,A
1,M,B
1,M,B
0,M,B
0,M,S
0,M,A
0,M,A
0,M,A
1,M,B
0,M,A
0,M,A
1,M,B
1,M,B
1,M,A
1,M,B
1,M,A
0,M,A
0,M,A
0,M,A
0,M,B
0,M,B
0,M,A
0,M,S
0,M,B
0,M,A
1,M,B
0,M,A
0,M,B
0,M,S
0,M,A
1,M,A
1,M,B
0,M,A
1,M,A
1,M,S
0,M,A
1,M,A
1,M,A
0,M,B
0,M,A
0,M,A
1,M,A
0,M,B
1,M,B
1,M,A
0,M,A
0,M,A
1,M,A
0,M,S
0,M,A
1,M,B
0,M,A
0,M,A
1,M,B
0,M,A
1,M,B
0,M,B
1,M,A
1,M,B
0,M,A
0,M,B
0,M,B
1,M,A
1,M,B
1,M,B
0,M,S
1,M,B
0,M,B
0,M,A
0,M,A
1,M,B
1,M,B
0,M,A
0,M,A
0,M,A
1,M,B
1,M,B
0,M,B
0,M,B
1,M,S
0,M,B
0,M,B
0,M,A
0,M,B
1,M,B
0,M,A
1,M,B
1,M,B
1,M,B
1,M,B
0,M,A
1,M,B
1,M,B
1,M,B
0,M,A
0,M,A
0,M,B
1,M,B
1,M,B
1,M,B
1,M,B
0,M,S
1,M,B
1,M,B
0,M,B
1,M,B
1,M,B
1,M,A
1,M,A
0,M,B
0,M,S
0,M,A
0,M,A
0,M,B
0,M,A
0,M,B
0,M,B
0,M,B
0,M,A
1,M,B
1,M,A
0,M,A
1,M,B
0,M,B
0,M,B
0,M,B
1,M,A
1,M,B
0,M,B
0,M,B
0,M,A
0,M,A
1,M,B
1,M,B
0,M,S
1,M,B
0,M,A
0,M,A
0,M,A
0,M,S
0,M,S
1,M,A
0,M,A
1,M,B
0,M,A
0,M,A
1,M,B
0,M,A
1,M,B
0,M,A
0,M,A
0,M,B
0,M,A
0,M,B
0,M,B
0,M,S
0,M,A
1,M,B
1,M,B
0,M,B
0,M,A
1,M,A
0,M,A
0,M,B
0,M,B
0,M,S
0,M,A
0,M,B
0,M,A
1,M,B
0,M,B
0,M,A
1,M,S
0,M,A
0,M,B
0,M,A
0,M,A
1,M,S
1,M,A
0,M,B
0,M,A
1,M,B
1,M,B
1,M,B
1,M,B
1,M,A
1,M,A
0,M,A
0,M,B
0,M,B
0,M,A
0,M,B
0,M,S
1,M,B
1,M,B
0,M,A
1,M,B
0,M,B
0,M,B
1,M,B
1,M,B
0,M,A
0,M,B
0,M,B
1,M,B
1,M,B
0,M,B
0,M,A
1,M,B
0,M,B
1,M,B
0,M,B
1,M,B
0,M,B
1,M,B
0,M,A
0,M,B
0,M,A
0,M,B
0,M,A
0,M,B
0,M,A
1,M,B
1,M,B
0,M,B
1,M,S
0,M,A
0,M,A
1,M,B
0,M,B
0,M,A
0,M,B
1,M,B
0,M,B
0,M,A
0,M,B
1,M,B
0,M,B
0,M,B
0,M,B
1,M,B
0,M,B
0,M,A
1,M,B
0,M,A
0,M,B
1,M,B
0,M,B
1,M,B
0,M,A
0,M,B
1,M,B
0,M,B
0,M,A
1,M,B
1,M,B
0,M,A
0,M,S
0,M,B
1,M,A
0,M,A
1,M,B
1,M,B
0,M,A
0,M,A
0,M,A
0,M,A
1,M,B
1,M,B
1,M,B
0,M,A
1,M,B
0,M,A
0,M,A
0,M,A
0,M,A
1,M,B
1,M,B
0,M,S
0,M,A
1,M,B
0,M,A
0,M,B
1,M,B
0,M,B
0,M,B
0,M,A
0,M,A
0,M,A
0,M,A
1,M,A
1,M,B
1,M,B
1,M,A
1,M,B
0,M,A
0,M,A
1,M,A
1,M,B
1,M,B
1,M,B
1,M,B
0,M,B
0,M,B
0,M,B
0,M,S
0,M,A
0,M,A
0,M,A
1,M,B
1,M,B
0,M,A
1,M,S
1,M,A
0,M,A
1,M,B
0,M,A
0,M,B
0,M,S
0,M,A
0,M,B
0,M,B
1,M,B
1,M,B
1,M,B
0,M,A
0,M,A
0,M,A
1,M,B
1,M,B
0,M,A
0,M,B
1,M,A
0,M,B
0,M,B
1,M,B
1,M,B
0,M,B
1,M,B
0,M,B
0,M,S
0,M,S
0,M,A
0,M,S
1,M,B
1,M,B
0,M,B
0,M,S
0,M,A
0,M,A
1,M,B
1,M,B
1,M,B
0,M,B
1,M,A
0,M,A
0,M,B
0,M,A
0,M,A
0,M,A
0,M,A
1,M,B
0,M,A
1,M,B
0,M,S
0,M,A
0,M,A
1,M,B
0,M,B
0,M,A
0,M,A
0,M,A
0,M,B
1,M,B
0,M,S
1,M,B
0,M,A
1,M,B
1,M,B
1,M,A
0,M,S
0,M,B
0,M,A
0,M,A
1,M,B
0,M,A
0,M,B
0,M,A
1,M,B
1,M,B
0,M,B
0,M,A
1,M,B
1,M,A
1,M,B
0,M,A
0,M,B
0,M,A
1,M,B
0,M,A
1,M,B
0,M,A
0,M,A
1,M,B
0,M,B
0,M,A
0,M,A
0,M,A
0,M,A
0,M,B
1,M,B
1,M,B
1,M,A
1,M,B
0,M,A
0,M,B
1,M,B
1,M,B
0,M,B
0,M,S
0,M,A
1,M,B
1,M,B
0,M,S
1,M,B
1,M,B
0,M,A
0,M,B
0,M,B
1,M,B
1,M,B
0,M,A
1,M,B
0,M,A
0,M,A
1,M,B
0,M,A
0,M,B
0,M,A
0,M,B
0,M,A
0,M,B
1,M,A
1,M,B
1,M,B
0,M,B
0,M,A
0,M,A
0,M,S
1,M,B
0,M,A
0,M,B
1,M,B
0,M,A
0,M,S
1,M,B
1,M,A
0,M,B
0,M,A
0,M,A
0,M,S
0,M,B
0,F,S
0,M,S
1,F,A
1,M,B
0,M,B
1,F,B
1,M,B
1,M,B
1,F,B
1,M,B
0,M,B
0,M,S
0,F,A
0,F,S
1,M,A
1,F,B
0,F,B
1,F,B
1,F,B
0,M,B
0,F,A
0,F,S
0,F,B
1,F,B
0,F,A
0,M,A
1,F,A
0,M,B
0,M,S
1,F,B
1,M,B
0,F,B
1,M,B
0,F,A
1,F,B
0,F,A
0,M,S
1,M,B
1,M,A
1,M,B
0,M,S
0,F,S
0,M,B
0,M,A
0,M,A
0,M,B
1,M,B
1,F,B
1,F,B
0,F,B
0,F,A
0,F,A
0,F,A
0,M,A
0,F,A
1,M,B
0,M,A
1,M,B
0,F,A
1,M,B
1,M,B
1,F,B
0,M,A
0,F,A
1,F,B
1,M,B
1,M,A
1,F,A
0,M,S
0,M,S
0,F,B
0,M,A
1,F,B
0,F,A
0,M,A
0,M,B
1,M,B
0,F,A
0,F,S
0,F,A
1,M,B
1,F,B
0,M,B
1,M,B
0,F,A
0,F,B
0,M,B
0,F,A
0,F,A
1,F,B
1,F,B
0,M,S
1,M,B
1,F,B
0,F,B
1,F,B
1,F,B
1,F,B
0,M,B
0,F,A
0,F,B
1,F,B
1,F,B
0,F,A
0,M,S
1,M,B
1,M,B
1,F,B
0,F,B
0,F,A
0,M,S
0,M,B
0,F,A
0,M,A
1,F,A
0,M,A
0,M,A
1,F,B
1,F,A
0,F,B
0,F,A
0,F,B
1,M,B
0,F,S
0,F,A
0,M,B
1,M,A
0,M,A
1,M,B
0,F,A
1,F,A
0,M,B
1,F,A
1,M,B
1,M,B
1,M,B
1,F,B
1,F,A
0,F,B
0,F,S
1,M,B
1,F,B
1,F,B
0,M,A
0,F,A
0,F,A
0,M,A
0,F,A
1,F,B
1,M,B
0,F,S
0,F,A
1,M,B
0,F,A
1,F,B
0,M,A
0,M,A
0,M,A
1,M,S
1,M,B
1,M,B
0,M,B
0,F,B
1,M,B
0,F,A
0,M,B
0,F,A
0,M,A
0,M,A
1,F,B
0,M,A
1,F,S
0,F,B
1,M,B
0,F,B
0,F,A
1,F,B
1,M,A
0,M,A
0,F,B
0,F,A
0,M,A
0,F,A
0,F,B
0,F,A
1,M,B
1,F,S
0,M,B
1,F,A
0,F,A
0,F,A
0,F,A
1,M,B
0,M,S
0,M,A
0,M,A
1,F,S
1,F,B
1,F,B
1,F,B
1,M,B
0,F,A
1,F,B
0,M,A
0,M,B
1,F,B
0,F,B
1,M,B
0,M,B
1,F,B
0,F,A
0,F,B
1,F,B
1,F,A
0,M,B
0,F,B
1,M,A
0,M,A
0,F,B
0,M,A
1,M,B
0,F,A
0,M,B
1,F,B
1,M,B
0,M,A
1,F,B
1,M,B
1,M,B
0,M,S
0,F,A
1,F,B
0,F,B
0,M,A
1,F,B
0,M,A
0,F,A
0,F,A
0,M,B
0,F,B
0,M,B
1,M,B
0,M,A
1,F,B
0,F,A
0,M,B
1,F,B
0,F,B
0,F,S
0,F,A
1,F,B
0,F,A
0,F,S
0,F,A
1,M,A
1,M,B
0,M,A
1,M,B
0,F,A
0,F,A
1,F,A
0,M,A
1,F,B
1,F,B
1,M,B
0,M,A
0,M,A
0,M,A
0,M,B
0,M,A
1,M,B
1,M,B
1,M,A
1,M,B
0,M,A
1,M,A
1,F,A
1,M,A
0,M,B
0,M,A
0,M,B
0,F,A
0,F,A
0,M,A
1,M,B
0,M,A
0,F,B
0,M,B
0,M,A
0,F,B
1,F,A
0,F,B
1,M,B
1,M,S
0,F,B
1,M,B
0,F,B
0,M,A
1,F,B
0,F,A
1,M,B
0,M,A
1,F,B
1,M,B
0,M,B
0,M,S
1,M,A
1,F,B
1,F,B
1,M,B
1,F,B
1,F,B
0,F,S
1,M,B
0,F,A
1,F,B
0,F,B
1,F,B
0,F,B
0,M,A
0,M,B
0,F,A
0,M,B
0,M,A
1,M,A
1,M,B
1,F,A
0,M,A
0,F,A
1,F,B
0,F,B
0,M,A
1,F,B
1,F,A
1,F,B
1,F,B
1,M,B
0,M,A
0,F,B
1,F,S
0,M,A
0,M,A
1,F,A
0,M,A
0,M,B
0,M,A
0,F,B
1,M,A
0,F,A
0,M,A
0,F,A
0,M,B
0,M,A
