"id","School","Sex","Grade","Final"
1,"A","M",1,44.4
2,"A","M",2,47.7
3,"A","M",3,65.6
4,"A","F",1,50.7
5,"A","F",2,51.3
6,"A","F",3,67.2
7,"A","M",1,54.6
8,"A","M",2,37.3
9,"A","M",3,43.1
10,"A","F",1,45.5
11,"A","F",2,62.2
12,"A","F",3,53.6
13,"A","M",1,54
14,"A","M",2,51.1
15,"A","M",3,44.4
16,"A","F",1,67.9
17,"A","F",2,55
18,"A","F",3,30.3
19,"A","M",1,57
20,"A","M",2,45.3
21,"A","M",3,39.3
22,"A","F",1,47.8
23,"A","F",2,39.7
24,"A","F",3,42.7
25,"A","M",1,43.7
26,"A","M",2,33.1
27,"A","M",3,58.4
28,"A","F",1,51.5
29,"A","F",2,38.6
30,"A","F",3,62.5
31,"A","M",1,54.3
32,"A","M",2,47
33,"A","M",3,59
34,"A","F",1,58.8
35,"A","F",2,58.2
36,"A","F",3,56.9
37,"A","M",1,55.5
38,"A","M",2,49.4
39,"A","M",3,46.9
40,"A","F",1,46.2
41,"A","F",2,43.1
42,"A","F",3,47.9
43,"A","M",1,37.3
44,"A","M",2,71.7
45,"A","M",3,62.1
46,"A","F",1,38.8
47,"A","F",2,46
48,"A","F",3,45.3
49,"A","M",1,57.8
50,"A","M",2,49.2
51,"A","M",3,52.5
52,"A","F",1,49.7
53,"A","F",2,49.6
54,"A","F",3,63.7
55,"A","M",1,47.7
56,"A","M",2,65.2
57,"A","M",3,34.5
58,"A","F",1,55.8
59,"A","F",2,51.2
60,"A","F",3,52.2
61,"A","M",1,53.8
62,"A","M",2,45
63,"A","M",3,46.7
64,"A","F",1,39.8
65,"A","F",2,39.3
66,"A","F",3,53
67,"A","M",1,54.5
68,"A","M",2,50.5
69,"A","M",3,59.2
70,"A","F",1,70.5
71,"A","F",2,45.1
72,"A","F",3,26.9
73,"A","M",1,60.1
74,"A","M",2,42.9
75,"A","M",3,43.1
76,"A","F",1,60.3
77,"A","F",2,47.2
78,"A","F",3,37.8
79,"A","M",1,51.8
80,"A","M",2,48.6
81,"A","M",3,50.1
82,"A","F",1,53.9
83,"A","F",2,46.3
84,"A","F",3,56.4
85,"A","M",1,47.8
86,"A","M",2,53.3
87,"A","M",3,61
88,"A","F",1,54.4
89,"A","F",2,46.7
90,"A","F",3,61.5
91,"A","M",1,59.9
92,"A","M",2,55.5
93,"A","M",3,52.4
94,"A","F",1,43.7
95,"A","F",2,63.6
96,"A","F",3,44
97,"A","M",1,71.9
98,"A","M",2,65.3
99,"A","M",3,47.6
100,"A","F",1,39.7
101,"A","F",2,42.9
102,"A","F",3,52.6
103,"A","M",1,47.5
104,"A","M",2,46.5
105,"A","M",3,40.5
106,"A","F",1,49.5
107,"A","F",2,42.2
108,"A","F",3,33.3
109,"A","M",1,46.2
110,"A","M",2,59.2
111,"A","M",3,44.2
112,"A","F",1,56.1
113,"A","F",2,33.8
114,"A","F",3,49.4
115,"A","M",1,55.2
116,"A","M",2,53
117,"A","M",3,51.1
118,"A","F",1,43.6
119,"A","F",2,41.5
120,"A","F",3,39.8
121,"A","M",1,51.2
122,"A","M",2,40.5
123,"A","M",3,45.1
124,"A","F",1,47.4
125,"A","F",2,68.4
126,"A","F",3,43.5
127,"A","M",1,52.4
128,"A","M",2,50.8
129,"A","M",3,40.4
130,"A","F",1,49.3
131,"A","F",2,64.4
132,"A","F",3,54.5
133,"A","M",1,50.4
134,"A","M",2,45.8
135,"A","M",3,29.5
136,"A","F",1,61.3
137,"A","F",2,35.4
138,"A","F",3,57.4
139,"A","M",1,69.1
140,"A","M",2,35.6
141,"A","M",3,57
142,"A","F",1,47.4
143,"A","F",2,34.3
144,"A","F",3,34.9
145,"A","M",1,34
146,"A","M",2,44.7
147,"A","M",3,35.4
148,"A","F",1,56.9
149,"A","F",2,71
150,"A","F",3,37.1
151,"A","M",1,57.9
152,"A","M",2,57.7
153,"A","M",3,53.3
154,"A","F",1,39.9
155,"A","F",2,48.8
156,"A","F",3,47.2
157,"A","M",1,55.6
158,"A","M",2,46.3
159,"A","M",3,59.8
160,"A","F",1,46.3
161,"A","F",2,60.5
162,"A","F",3,39.5
163,"A","M",1,37.4
164,"A","M",2,82.4
165,"A","M",3,45.8
166,"A","F",1,53
167,"A","F",2,56.4
168,"A","F",3,45.2
169,"A","M",1,55.2
170,"A","M",2,53.7
171,"A","M",3,47.8
172,"A","F",1,50.7
173,"A","F",2,49.7
174,"A","F",3,71.3
175,"A","M",1,42.6
176,"A","M",2,39
177,"A","M",3,50.4
178,"A","F",1,53.1
179,"A","F",2,54.4
180,"A","F",3,45.4
181,"A","M",1,39.4
182,"A","M",2,62.6
183,"A","M",3,46.5
184,"A","F",1,41.3
185,"A","F",2,47.6
186,"A","F",3,48
187,"A","M",1,61.1
188,"A","M",2,50.8
189,"A","M",3,57.5
190,"A","F",1,45
191,"A","F",2,52.1
192,"A","F",3,46.8
193,"A","M",1,50.9
194,"A","M",2,41
195,"A","M",3,36.9
196,"A","F",1,70
197,"A","F",2,56
198,"A","F",3,37.5
199,"A","M",1,43.9
200,"A","M",2,38.1
201,"A","M",3,72
202,"A","F",1,63.1
203,"A","F",2,47.3
204,"A","F",3,55.4
205,"A","M",1,45.9
206,"A","M",2,45.2
207,"A","M",3,42.1
208,"A","F",1,44.1
209,"A","F",2,66.5
210,"A","F",3,49.5
211,"A","M",1,51.2
212,"A","M",2,52.4
213,"A","M",3,62.3
214,"A","F",1,44.8
215,"A","F",2,40.1
216,"A","F",3,66.8
217,"A","M",1,45.6
218,"A","M",2,42.8
219,"A","M",3,37.6
220,"A","F",1,37.2
221,"A","F",2,44.3
222,"A","F",3,56.2
223,"A","M",1,61.1
224,"A","M",2,57.1
225,"A","M",3,46.4
226,"A","F",1,50.6
227,"A","F",2,43
228,"A","F",3,42.8
229,"A","M",1,58.8
230,"A","M",2,39.8
231,"A","M",3,69.6
232,"A","F",1,49.1
233,"A","F",2,52.1
234,"A","F",3,42.6
235,"A","M",1,44.3
236,"A","M",2,36.8
237,"A","M",3,48.2
238,"A","F",1,54.2
239,"A","F",2,53.2
240,"A","F",3,42.2
241,"A","M",1,42.1
242,"A","M",2,45
243,"A","M",3,65
244,"A","F",1,38.6
245,"A","F",2,48.2
246,"A","F",3,69
247,"A","M",1,49
248,"A","M",2,36.4
249,"A","M",3,43.4
250,"A","F",1,54.9
251,"A","F",2,46.2
252,"A","F",3,44.4
253,"A","M",1,46.6
254,"A","M",2,50.9
255,"A","M",3,66
256,"A","F",1,49.1
257,"A","F",2,60.8
258,"A","F",3,56.3
259,"A","M",1,48.9
260,"A","M",2,34.7
261,"A","M",3,44.8
262,"A","F",1,45.1
263,"A","F",2,50.5
264,"A","F",3,63
265,"A","M",1,72.9
266,"A","M",2,65.5
267,"A","M",3,48.7
268,"A","F",1,32.4
269,"A","F",2,46.1
270,"A","F",3,50.9
271,"A","M",1,58.5
272,"A","M",2,59.6
273,"A","M",3,56.8
274,"A","F",1,36
275,"A","F",2,58.5
276,"A","F",3,45.5
277,"A","M",1,51.7
278,"A","M",2,50.7
279,"A","M",3,54.3
280,"A","F",1,50.2
281,"A","F",2,33.3
282,"A","F",3,57.4
283,"A","M",1,53.9
284,"A","M",2,47.3
285,"A","M",3,51.2
286,"A","F",1,51.3
287,"A","F",2,52.2
288,"A","F",3,66.4
289,"A","M",1,47.8
290,"A","M",2,51.7
291,"A","M",3,61.7
292,"A","F",1,60.5
293,"A","F",2,61.5
294,"A","F",3,44.2
295,"A","M",1,70
296,"A","M",2,50.7
297,"A","M",3,68.7
298,"A","F",1,36.5
299,"A","F",2,50.2
300,"A","F",3,62.5
301,"A","M",1,42.8
302,"A","M",2,42.5
303,"A","M",3,40.6
304,"A","F",1,39.5
305,"A","F",2,45.6
306,"A","F",3,53.3
307,"A","M",1,29.9
308,"A","M",2,52.1
309,"A","M",3,62.4
310,"A","F",1,70.4
311,"A","F",2,63
312,"A","F",3,57.6
313,"A","M",1,32.7
314,"A","M",2,44
315,"A","M",3,46.5
316,"A","F",1,57
317,"A","F",2,48.9
318,"A","F",3,37.4
319,"A","M",1,66.8
320,"A","M",2,59.1
321,"A","M",3,52.4
322,"A","F",1,62.2
323,"A","F",2,36.6
324,"A","F",3,56.6
325,"A","M",1,44.8
326,"A","M",2,56.8
327,"A","M",3,49.4
328,"A","F",1,56.3
329,"A","F",2,63.4
330,"A","F",3,50.1
331,"A","M",1,60.2
332,"A","M",2,38.1
333,"A","M",3,42.8
334,"A","F",1,65.2
335,"A","F",2,53.8
336,"A","F",3,29.5
337,"A","M",1,36.4
338,"A","M",2,48
339,"A","M",3,58.7
340,"A","F",1,49
341,"A","F",2,56.2
342,"A","F",3,59.6
343,"A","M",1,66.7
344,"A","M",2,50.6
345,"A","M",3,49.5
346,"A","F",1,32.5
347,"A","F",2,51
348,"A","F",3,44.3
349,"A","M",1,40.3
350,"A","M",2,48.2
351,"A","M",3,60.1
352,"A","F",1,30.1
353,"A","F",2,45.7
354,"A","F",3,51.2
355,"A","M",1,41.1
356,"A","M",2,53.3
357,"A","M",3,54.1
358,"A","F",1,49.7
359,"A","F",2,25.3
360,"A","F",3,75.7
361,"A","M",1,47.9
362,"A","M",2,56.5
363,"A","M",3,52.7
364,"A","F",1,60.2
365,"A","F",2,58.2
366,"A","F",3,47.9
367,"A","M",1,53.8
368,"A","M",2,40.5
369,"A","M",3,58.6
370,"A","F",1,45.4
371,"A","F",2,74.2
372,"A","F",3,33.5
373,"A","M",1,45.4
374,"A","M",2,58.3
375,"A","M",3,55.1
376,"A","F",1,44.1
377,"A","F",2,40
378,"A","F",3,51.4
379,"A","M",1,49.9
380,"A","M",2,32.1
381,"A","M",3,50.3
382,"A","F",1,51.9
383,"A","F",2,51.7
384,"A","F",3,39.4
385,"A","M",1,54.8
386,"A","M",2,63.8
387,"A","M",3,54.6
388,"A","F",1,38.6
389,"A","F",2,45.6
390,"A","F",3,53.5
391,"A","M",1,43.5
392,"A","M",2,28.4
393,"A","M",3,58.8
394,"A","F",1,41.7
395,"A","F",2,44.3
396,"A","F",3,65
397,"A","M",1,42.3
398,"A","M",2,58.5
399,"A","M",3,37.4
400,"A","F",1,46.5
401,"A","F",2,49.3
402,"A","F",3,38.3
403,"A","M",1,43.7
404,"A","M",2,49.7
405,"A","M",3,56.7
406,"A","F",1,33.5
407,"A","F",2,46.5
408,"A","F",3,57.6
409,"A","M",1,44.6
410,"A","M",2,52.3
411,"A","M",3,54.9
412,"A","F",1,52.7
413,"A","F",2,56.5
414,"A","F",3,48.8
415,"A","M",1,45.9
416,"A","M",2,23.6
417,"A","M",3,49.1
418,"A","F",1,54.3
419,"A","F",2,55.4
420,"A","F",3,44.4
421,"A","M",1,67.8
422,"A","M",2,52.9
423,"A","M",3,51.3
424,"A","F",1,62.7
425,"A","F",2,42.8
426,"A","F",3,45.5
427,"A","M",1,74
428,"A","M",2,50.1
429,"A","M",3,66.3
430,"A","F",1,35.6
431,"A","F",2,48.1
432,"A","F",3,53.8
433,"A","M",1,53
434,"A","M",2,39.9
435,"A","M",3,50.2
436,"A","F",1,39.2
437,"A","F",2,57.1
438,"A","F",3,60.8
439,"A","M",1,27.8
440,"A","M",2,62.4
441,"A","M",3,37.6
442,"A","F",1,54.5
443,"A","F",2,56.6
444,"A","F",3,48
445,"A","M",1,43.5
446,"A","M",2,51.7
447,"A","M",3,54.4
448,"A","F",1,58.8
449,"A","F",2,29.5
450,"A","F",3,33.6
451,"A","M",1,64.3
452,"A","M",2,60.5
453,"A","M",3,54.4
454,"A","F",1,57.2
455,"A","F",2,59.2
456,"A","F",3,23.4
457,"A","M",1,61.1
458,"A","M",2,45.2
459,"A","M",3,52.3
460,"A","F",1,47
461,"A","F",2,58.7
462,"A","F",3,46.5
463,"A","M",1,55.2
464,"A","M",2,46.1
465,"A","M",3,39.1
466,"A","F",1,62.1
467,"A","F",2,57.4
468,"A","F",3,67.2
469,"A","M",1,50.7
470,"A","M",2,61.3
471,"A","M",3,69.8
472,"A","F",1,47.2
473,"A","F",2,36.8
474,"A","F",3,47.6
475,"A","M",1,47.9
476,"A","M",2,51.5
477,"A","M",3,67.1
478,"A","F",1,46.7
479,"A","F",2,53.7
480,"A","F",3,47.7
481,"A","M",1,50.2
482,"A","M",2,53.1
483,"A","M",3,63.3
484,"A","F",1,51.2
485,"A","F",2,57.1
486,"A","F",3,57.8
487,"A","M",1,59.1
488,"A","M",2,44.3
489,"A","M",3,66.3
490,"A","F",1,46.2
491,"A","F",2,48.9
492,"A","F",3,64
493,"A","M",1,62.9
494,"A","M",2,39.1
495,"A","M",3,41.3
496,"A","F",1,36.4
497,"A","F",2,51.8
498,"A","F",3,51.6
499,"A","M",1,53.6
500,"A","M",2,55.5
501,"A","M",3,44
502,"A","F",1,40.1
503,"A","F",2,60.3
504,"A","F",3,57.5
505,"A","M",1,34.9
506,"A","M",2,49
507,"A","M",3,41
508,"A","F",1,29.3
509,"A","F",2,51.5
510,"A","F",3,49.2
511,"A","M",1,49
512,"A","M",2,52.2
513,"A","M",3,58.8
514,"A","F",1,52.1
515,"A","F",2,43.8
516,"A","F",3,42.7
517,"A","M",1,48.7
518,"A","M",2,53.1
519,"A","M",3,39.6
520,"A","F",1,48.2
521,"A","F",2,59.7
522,"A","F",3,48.9
523,"A","M",1,43
524,"A","M",2,47.2
525,"A","M",3,61.1
526,"A","F",1,55.5
527,"A","F",2,62.4
528,"A","F",3,51.4
529,"A","M",1,54.1
530,"A","M",2,44.4
531,"A","M",3,56.1
532,"A","F",1,44.9
533,"A","F",2,35.8
534,"A","F",3,51.3
535,"A","M",1,69.5
536,"A","M",2,58
537,"A","M",3,61.7
538,"A","F",1,53.6
539,"A","F",2,43.9
540,"A","F",3,48
541,"A","M",1,47.3
542,"A","M",2,45.3
543,"A","M",3,57
544,"A","F",1,38
545,"A","F",2,58.7
546,"A","F",3,58.6
547,"A","M",1,38
548,"A","M",2,56.4
549,"A","M",3,74.3
550,"A","F",1,44.4
551,"A","F",2,58.4
552,"A","F",3,42.2
553,"A","M",1,61.1
554,"A","M",2,52.5
555,"A","M",3,66.5
556,"A","F",1,35.4
557,"A","F",2,49.5
558,"A","F",3,44.7
559,"A","M",1,48
560,"A","M",2,43.7
561,"A","M",3,41.7
562,"A","F",1,55.8
563,"A","F",2,39.1
564,"A","F",3,64.8
565,"A","M",1,38.1
566,"A","M",2,51
567,"A","M",3,55.3
568,"A","F",1,55.9
569,"A","F",2,47
570,"A","F",3,50.8
571,"A","M",1,59.6
572,"A","M",2,35.4
573,"A","M",3,42.2
574,"A","F",1,53.2
575,"A","F",2,45.6
576,"A","F",3,63.7
577,"A","M",1,56.7
578,"A","M",2,50.7
579,"A","M",3,34.9
580,"A","F",1,50.3
581,"A","F",2,46.8
582,"A","F",3,49
583,"A","M",1,38.2
584,"A","M",2,55
585,"A","M",3,39.6
586,"A","F",1,47.7
587,"A","F",2,53.8
588,"A","F",3,42.2
589,"A","M",1,55.8
590,"A","M",2,36.8
591,"A","M",3,21.9
592,"A","F",1,54.6
593,"A","F",2,58.4
594,"A","F",3,47.1
595,"A","M",1,55
596,"A","M",2,38.4
597,"A","M",3,48.7
598,"A","F",1,30.6
599,"A","F",2,61.8
600,"A","F",3,68.6
601,"A","M",1,60.7
602,"A","M",2,49.7
603,"A","M",3,49.7
604,"A","F",1,34.8
605,"A","F",2,57.9
606,"A","F",3,47.9
607,"A","M",1,43.4
608,"A","M",2,35.9
609,"A","M",3,47
610,"A","F",1,41.5
611,"A","F",2,46
612,"A","F",3,37.8
613,"A","M",1,66.9
614,"A","M",2,49.8
615,"A","M",3,60.7
616,"A","F",1,24
617,"A","F",2,45.5
618,"A","F",3,43.2
619,"A","M",1,37.8
620,"A","M",2,65.5
621,"A","M",3,35.8
622,"A","F",1,53.2
623,"A","F",2,58.5
624,"A","F",3,51.8
625,"A","M",1,41.2
626,"A","M",2,59.4
627,"A","M",3,51.7
628,"A","F",1,39.4
629,"A","F",2,36.1
630,"A","F",3,70.9
631,"A","M",1,43.2
632,"A","M",2,31.4
633,"A","M",3,55.3
634,"A","F",1,53.1
635,"A","F",2,36.5
636,"A","F",3,30.6
637,"A","M",1,48.8
638,"A","M",2,61.4
639,"A","M",3,56.4
640,"A","F",1,45.1
641,"A","F",2,41.7
642,"A","F",3,52.7
643,"A","M",1,51.6
644,"A","M",2,56.3
645,"A","M",3,46
646,"A","F",1,59
647,"A","F",2,41.7
648,"A","F",3,46.7
649,"A","M",1,57.4
650,"A","M",2,59.9
651,"A","M",3,30.6
652,"A","F",1,51.1
653,"A","F",2,56.1
654,"A","F",3,35.5
655,"A","M",1,54.8
656,"A","M",2,41.7
657,"A","M",3,60.2
658,"A","F",1,55.4
659,"A","F",2,57.7
660,"A","F",3,51.2
661,"A","M",1,58.6
662,"A","M",2,63.8
663,"A","M",3,69.7
664,"A","F",1,49.7
665,"A","F",2,27.5
666,"A","F",3,50.3
667,"A","M",1,52.1
668,"A","M",2,48.4
669,"A","M",3,55.7
670,"A","F",1,60.1
671,"A","F",2,44.8
672,"A","F",3,47.1
673,"A","M",1,54
674,"A","M",2,44.5
675,"A","M",3,50.9
676,"A","F",1,30.4
677,"A","F",2,38.8
678,"A","F",3,36.7
679,"A","M",1,41.5
680,"A","M",2,43.1
681,"A","M",3,53.8
682,"A","F",1,59.8
683,"A","F",2,42.7
684,"A","F",3,40
685,"A","M",1,39.6
686,"A","M",2,45.9
687,"A","M",3,47.6
688,"A","F",1,54.8
689,"A","F",2,46.8
690,"A","F",3,29.2
691,"A","M",1,49.1
692,"A","M",2,61.9
693,"A","M",3,61.9
694,"A","F",1,42.1
695,"A","F",2,34.5
696,"A","F",3,74.6
697,"A","M",1,48.4
698,"A","M",2,49
699,"A","M",3,54.2
700,"A","F",1,33.9
701,"A","F",2,42.7
702,"A","F",3,34.6
703,"A","M",1,43.1
704,"A","M",2,51.2
705,"A","M",3,36.4
706,"A","F",1,55.9
707,"A","F",2,52.9
708,"A","F",3,41
709,"A","M",1,52.3
710,"A","M",2,57.5
711,"A","M",3,60.6
712,"A","F",1,47.9
713,"A","F",2,49.1
714,"A","F",3,49.1
715,"A","M",1,64.4
716,"A","M",2,61.3
717,"A","M",3,58.3
718,"A","F",1,47.1
719,"A","F",2,53.7
720,"A","F",3,54
721,"A","M",1,39.6
722,"A","M",2,32.7
723,"A","M",3,56.4
724,"A","F",1,34.7
725,"A","F",2,50
726,"A","F",3,52.5
727,"A","M",1,55.6
728,"A","M",2,51.9
729,"A","M",3,42.7
730,"A","F",1,59.9
731,"A","F",2,67.4
732,"A","F",3,58.8
733,"A","M",1,30.6
734,"A","M",2,64
735,"A","M",3,49.4
736,"A","F",1,55.2
737,"A","F",2,56.2
738,"A","F",3,49
739,"A","M",1,49.2
740,"A","M",2,60.2
741,"A","M",3,57.1
742,"A","F",1,59.9
743,"A","F",2,73.8
744,"A","F",3,56.6
745,"A","M",1,52.1
746,"A","M",2,27.9
747,"A","M",3,76.9
748,"A","F",1,45.2
749,"A","F",2,73.7
750,"A","F",3,53.7
751,"A","M",1,65.4
752,"A","M",2,48.9
753,"A","M",3,55.1
754,"A","F",1,52.1
755,"A","F",2,48.1
756,"A","F",3,48.8
757,"A","M",1,60.1
758,"A","M",2,48
759,"A","M",3,29.6
760,"A","F",1,48
761,"A","F",2,55.4
762,"A","F",3,56.2
763,"A","M",1,56.2
764,"A","M",2,33.1
765,"A","M",3,53.7
766,"A","F",1,59.7
767,"A","F",2,62.8
768,"A","F",3,47.8
769,"A","M",1,46.8
770,"A","M",2,64.9
771,"A","M",3,33.3
772,"A","F",1,45.6
773,"A","F",2,54.6
774,"A","F",3,33.8
775,"A","M",1,52.8
776,"A","M",2,68.8
777,"A","M",3,50
778,"A","F",1,47.2
779,"A","F",2,54.7
780,"A","F",3,47.2
781,"A","M",1,58.1
782,"A","M",2,59
783,"A","M",3,50
784,"A","F",1,38.2
785,"A","F",2,36.8
786,"A","F",3,44.1
787,"A","M",1,58
788,"A","M",2,30.4
789,"A","M",3,31.1
790,"A","F",1,43.5
791,"A","F",2,53.9
792,"A","F",3,40.9
793,"A","M",1,58.9
794,"A","M",2,53.3
795,"A","M",3,48.3
796,"A","F",1,58.2
797,"A","F",2,53.9
798,"A","F",3,45.5
799,"A","M",1,52.3
800,"A","M",2,56.5
801,"A","M",3,53.6
802,"A","F",1,43.4
803,"A","F",2,58.6
804,"A","F",3,61.5
805,"A","M",1,52.8
806,"A","M",2,51.4
807,"A","M",3,49.2
808,"A","F",1,71.6
809,"A","F",2,52.8
810,"A","F",3,48.4
811,"A","M",1,24.9
812,"A","M",2,34.3
813,"A","M",3,49.2
814,"A","F",1,52.1
815,"A","F",2,52.8
816,"A","F",3,58.2
817,"A","M",1,48.1
818,"A","M",2,62.1
819,"A","M",3,40.8
820,"A","F",1,37.9
821,"A","F",2,37.7
822,"A","F",3,57.4
823,"A","M",1,49.2
824,"A","M",2,57.9
825,"A","M",3,47.3
826,"A","F",1,44.1
827,"A","F",2,46.3
828,"A","F",3,31.5
829,"A","M",1,38.3
830,"A","M",2,35.6
831,"A","M",3,60.5
832,"A","F",1,44
833,"A","F",2,57.9
834,"A","F",3,65.2
835,"A","M",1,48.1
836,"A","M",2,52.8
837,"A","M",3,32.5
838,"A","F",1,41.8
839,"A","F",2,50.6
840,"A","F",3,53
841,"A","M",1,42.4
842,"A","M",2,76.8
843,"A","M",3,45.4
844,"A","F",1,50.6
845,"A","F",2,56.5
846,"A","F",3,49.7
847,"A","M",1,43.6
848,"A","M",2,60.5
849,"A","M",3,66.2
850,"A","F",1,49.7
851,"A","F",2,55.6
852,"A","F",3,49
853,"A","M",1,60.2
854,"A","M",2,38.4
855,"A","M",3,73.2
856,"A","F",1,44
857,"A","F",2,35.4
858,"A","F",3,46.5
859,"A","M",1,51.5
860,"A","M",2,66.2
861,"A","M",3,59.1
862,"A","F",1,51.4
863,"A","F",2,36.1
864,"A","F",3,41.3
865,"A","M",1,48.4
866,"A","M",2,75.5
867,"A","M",3,31.4
868,"A","F",1,61.3
869,"A","F",2,44.7
870,"A","F",3,66.7
871,"A","M",1,38.6
872,"A","M",2,51.4
873,"A","M",3,39
874,"A","F",1,59
875,"A","F",2,64.8
876,"A","F",3,69.5
877,"A","M",1,58
878,"A","M",2,68.4
879,"A","M",3,62.5
880,"A","F",1,48.7
881,"A","F",2,54.8
882,"A","F",3,40.3
883,"A","M",1,48.1
884,"A","M",2,62.2
885,"A","M",3,55.4
886,"A","F",1,54.6
887,"A","F",2,39.6
888,"A","F",3,44
889,"A","M",1,42.4
890,"A","M",2,54
891,"A","M",3,40.1
892,"A","F",1,55.6
893,"A","F",2,38.8
894,"A","F",3,68.3
895,"A","M",1,54.6
896,"A","M",2,43
897,"A","M",3,52.4
898,"A","F",1,46.5
899,"A","F",2,53.7
900,"A","F",3,52.4
901,"A","M",1,39.9
902,"A","M",2,42.1
903,"A","M",3,53
904,"A","F",1,66.4
905,"A","F",2,60.8
906,"A","F",3,43.8
907,"A","M",1,58.3
908,"A","M",2,49.5
909,"A","M",3,53
910,"A","F",1,52.6
911,"A","F",2,75.8
912,"A","F",3,38.1
913,"A","M",1,51
914,"A","M",2,32.2
915,"A","M",3,55.9
916,"A","F",1,61
917,"A","F",2,64.5
918,"A","F",3,30.7
919,"A","M",1,54.1
920,"A","M",2,65.9
921,"A","M",3,45.9
922,"A","F",1,47.9
923,"A","F",2,49.6
924,"A","F",3,53.7
925,"A","M",1,56.7
926,"A","M",2,63.2
927,"A","M",3,49
928,"A","F",1,52
929,"A","F",2,74.9
930,"A","F",3,54.3
931,"A","M",1,51.9
932,"A","M",2,36.6
933,"A","M",3,50
934,"A","F",1,47.8
935,"A","F",2,49.9
936,"A","F",3,44.2
937,"A","M",1,43.1
938,"A","M",2,42.8
939,"A","M",3,47.9
940,"A","F",1,63.7
941,"A","F",2,60.5
942,"A","F",3,46.4
943,"A","M",1,33.1
944,"A","M",2,41.6
945,"A","M",3,45.4
946,"A","F",1,51
947,"A","F",2,43.4
948,"A","F",3,70.1
949,"A","M",1,47.3
950,"A","M",2,37.9
951,"A","M",3,48.6
952,"A","F",1,39.9
953,"A","F",2,51.6
954,"A","F",3,52.3
955,"A","M",1,53.6
956,"A","M",2,33.8
957,"A","M",3,52.2
958,"A","F",1,53.1
959,"A","F",2,35.8
960,"A","F",3,59.6
961,"A","M",1,57.8
962,"A","M",2,73
963,"A","M",3,51.6
964,"A","F",1,50.5
965,"A","F",2,51
966,"A","F",3,50.7
967,"A","M",1,31.5
968,"A","M",2,33.3
969,"A","M",3,49.2
970,"A","F",1,44.2
971,"A","F",2,50.5
972,"A","F",3,28.9
973,"A","M",1,35
974,"A","M",2,39
975,"A","M",3,59.9
976,"A","F",1,39
977,"A","F",2,42
978,"A","F",3,50.8
979,"A","M",1,46.8
980,"A","M",2,51.5
981,"A","M",3,73.1
982,"A","F",1,38.8
983,"A","F",2,46.9
984,"A","F",3,44.8
985,"A","M",1,65.1
986,"A","M",2,42.3
987,"A","M",3,49.2
988,"A","F",1,57.9
989,"A","F",2,39.4
990,"A","F",3,66.6
991,"A","M",1,56.8
992,"A","M",2,39.3
993,"A","M",3,54.5
994,"A","F",1,47.9
995,"A","F",2,53.1
996,"A","F",3,49.1
997,"A","M",1,60.7
998,"A","M",2,36.5
999,"A","M",3,44.8
1000,"A","F",1,47.5
1001,"B","F",2,92
1002,"B","F",3,92.3
1003,"B","M",1,92.8
1004,"B","M",2,77.6
1005,"B","M",3,91.8
1006,"B","F",1,80.2
1007,"B","F",2,87.9
1008,"B","F",3,91.2
1009,"B","M",1,96.4
1010,"B","M",2,100
1011,"B","M",3,90.1
1012,"B","F",1,90.7
1013,"B","F",2,99.1
1014,"B","F",3,100
1015,"B","M",1,75.3
1016,"B","M",2,94.4
1017,"B","M",3,82.1
1018,"B","F",1,89.5
1019,"B","F",2,84.7
1020,"B","F",3,91.2
1021,"B","M",1,100
1022,"B","M",2,100
1023,"B","M",3,98.2
1024,"B","F",1,96.9
1025,"B","F",2,93.4
1026,"B","F",3,81.5
1027,"B","M",1,85.9
1028,"B","M",2,84.6
1029,"B","M",3,86.6
1030,"B","F",1,95
1031,"B","F",2,80.3
